mix_effect_scale,mix_kl_penalty,domain,share,p0,share_multiple
0.016,0.15,hackernews,0.012356762838897084,0.01165082237856243,1.0605914704899793
0.016,0.15,pubmed_abstracts,0.0647482389468443,0.06618116611255062,0.978348414664235
0.016,0.15,uspto_backgrounds,0.0738340360906289,0.07556475309321728,0.9770962395595556
0.08,0.006,arxiv,0.0015982979138372518,0.11302252583217468,0.014141410325677365
0.08,0.006,freelaw,0.0020551713751187626,0.09682483215160405,0.021225664217014762
0.08,0.006,nih_exporter,0.0010715005796417486,0.005889680217640528,0.18192848169115092
0.08,0.006,pubmed_central,0.0025457814235092793,0.11375419104995738,0.022379671465390227
0.08,0.006,wikipedia_en,0.001064039429888977,0.07507775607969777,0.014172499092267227
0.08,0.006,dm_mathematics,0.0010052886025345789,0.02546285409735114,0.03948059391500647
0.08,0.006,github,0.0013750646619706056,0.11070066006999096,0.012421467596500464
0.08,0.006,philpapers,0.001000253884316089,0.005487697351757549,0.1822720569667963
0.08,0.006,stackexchange,0.0038533880632087365,0.09943242344369017,0.03875383833313646
0.08,0.006,enron_emails,0.9749629694871806,0.0022110330440804327,440.9535950163364
0.08,0.006,gutenberg_pg_19,0.00100027802595224,0.04691494424769629,0.021321095910741866
0.08,0.006,pile_cc,0.0010476093807024467,0.11948759779117796,0.008767515625624151
0.08,0.006,ubuntu_irc,0.002909603430305655,0.019599998284382344,0.14844916760141164
0.08,0.006,europarl,0.0010776083819426328,0.012737064754468426,0.08460413782261611
0.08,0.006,hackernews,0.0010629849825462218,0.01165082237856243,0.09123690568848765
0.08,0.006,pubmed_abstracts,0.0010434322001200219,0.06618116611255062,0.015766301221491245
0.08,0.006,uspto_backgrounds,0.0013267281772239336,0.07556475309321728,0.01755750032805998
0.08,0.03,arxiv,0.1404484940768713,0.11302252583217468,1.2426593109892181
0.08,0.03,freelaw,0.14282723324043178,0.09682483215160405,1.4751095361239481
0.08,0.03,nih_exporter,0.029401298661453402,0.005889680217640528,4.9920025493730265
0.08,0.03,pubmed_central,0.16545505871946817,0.11375419104995738,1.454496376725191
0.08,0.03,wikipedia_en,0.04987955791661207,0.07507775607969777,0.6643719860735195
0.08,0.03,dm_mathematics,0.012526393804717147,0.02546285409735114,0.491947750901194
0.08,0.03,github,0.06163862809626648,0.11070066006999096,0.5568045218275591
0.08,0.03,philpapers,0.013871510115388931,0.005487697351757549,2.527746926667939
0.08,0.03,stackexchange,0.17884150490108003,0.09943242344369017,1.7986236149857115
0.08,0.03,enron_emails,0.02826833635910892,0.0022110330440804327,12.785126135853707
0.08,0.03,gutenberg_pg_19,0.03558421817668117,0.04691494424769629,0.7584836505145905
0.08,0.03,pile_cc,0.010015055842136852,0.11948759779117796,0.08381669752570996
0.08,0.03,ubuntu_irc,0.043193953228019395,0.019599998284382344,2.2037733167781535
0.08,0.03,europarl,0.001074324850134259,0.012737064754468426,0.08434634437713473
0.08,0.03,hackernews,0.03446666232529761,0.01165082237856243,2.958302959687759
0.08,0.03,pubmed_abstracts,0.027927304932313546,0.06618116611255062,0.42198266625914593
0.08,0.03,uspto_backgrounds,0.024580464754018913,0.07556475309321728,0.3252900823178269
0.08,0.15,arxiv,0.12533156177659774,0.11302252583217468,1.1089078115516597
0.08,0.15,freelaw,0.11107158437641991,0.09682483215160405,1.1471394466505134
0.08,0.15,nih_exporter,0.008568111041506817,0.005889680217640528,1.454766765747988
0.08,0.15,pubmed_central,0.1301056808445787,0.11375419104995738,1.1437440646687054
0.08,0.15,wikipedia_en,0.07344610453528408,0.07507775607969777,0.9782671775288324
0.08,0.15,dm_mathematics,0.02352157467910299,0.02546285409735114,0.9237603368881535
0.08,0.15,github,0.1044513976598526,0.11070066006999096,0.9435481016446764
0.08,0.15,philpapers,0.007020731010360919,0.005487697351757549,1.2793582736687155
0.08,0.15,stackexchange,0.118640064320268,0.09943242344369017,1.1931728123619088
0.08,0.15,enron_emails,0.0038624487848635653,0.0022110330440804327,1.746897811050108
0.08,0.15,gutenberg_pg_19,0.04719123116735007,0.04691494424769629,1.0058891025894665
0.08,0.15,pile_cc,0.07742939227434376,0.11948759779117796,0.648011958610658
0.08,0.15,ubuntu_irc,0.024402420270908807,0.019599998284382344,1.2450215513719267
0.08,0.15,europarl,0.006842117958000834,0.012737064754468426,0.5371816890230127
0.08,0.15,hackernews,0.015367468314651606,0.01165082237856243,1.3190028836872343
0.08,0.15,pubmed_abstracts,0.05912020926119308,0.06618116611255062,0.8933086667081483
0.08,0.15,uspto_backgrounds,0.06362790172471651,0.07556475309321728,0.8420314911401169
0.4,0.006,arxiv,0.0010060698036231746,0.11302252583217468,0.008901498141326902
0.4,0.006,freelaw,0.0010003874110819952,0.09682483215160405,0.010331930237850893
0.4,0.006,nih_exporter,0.0010423747918060515,0.005889680217640528,0.17698325771303733
0.4,0.006,pubmed_central,0.0010001105704725225,0.11375419104995738,0.008791856908668134
0.4,0.006,wikipedia_en,0.0010019728892446263,0.07507775607969777,0.013345802293038642
0.4,0.006,dm_mathematics,0.0010028787101680674,0.02546285409735114,0.03938595046469654
0.4,0.006,github,0.0010016513499461247,0.11070066006999096,0.00904828705910901
0.4,0.006,philpapers,0.0010092382477249048,0.005487697351757549,0.18390923971083706
0.4,0.006,stackexchange,0.0010047530730465917,0.09943242344369017,0.010104883681283258
0.4,0.006,enron_emails,0.9835414391401964,0.0022110330440804327,444.8334418942394
0.4,0.006,gutenberg_pg_19,0.0010097643844058514,0.04691494424769629,0.021523299251398658
0.4,0.006,pile_cc,0.0010015936331443187,0.11948759779117796,0.008382406640183276
0.4,0.006,ubuntu_irc,0.0010333990483956668,0.019599998284382344,0.052724445859727395
0.4,0.006,europarl,0.001001976880921658,0.012737064754468426,0.07866623121077748
0.4,0.006,hackernews,0.0010102212762084955,0.01165082237856243,0.08670815186980342
0.4,0.006,pubmed_abstracts,0.00100256285641656,0.06618116611255062,0.0151487638448612
0.4,0.006,uspto_backgrounds,0.0013296059331970862,0.07556475309321728,0.017595583638801465
0.4,0.03,arxiv,0.0010046062565981337,0.11302252583217468,0.008888548979075706
0.4,0.03,freelaw,0.0010150741362114676,0.09682483215160405,0.010483613693459435
0.4,0.03,nih_exporter,0.023045263752030958,0.005889680217640528,3.9128208833828926
0.4,0.03,pubmed_central,0.0010200630684660877,0.11375419104995738,0.008967257021924644
0.4,0.03,wikipedia_en,0.001003267515138534,0.07507775607969777,0.013363046094152427
0.4,0.03,dm_mathematics,0.0010003946812052235,0.02546285409735114,0.0392883954556097
0.4,0.03,github,0.0010009420981033025,0.11070066006999096,0.009041880124928367
0.4,0.03,philpapers,0.0010604614054146395,0.005487697351757549,0.19324342022524343
0.4,0.03,stackexchange,0.0028595639683939565,0.09943242344369017,0.028758868278146346
0.4,0.03,enron_emails,0.9574302733973491,0.0022110330440804327,433.0239550063096
0.4,0.03,gutenberg_pg_19,0.0010006401271597117,0.04691494424769629,0.021328814159442322
0.4,0.03,pile_cc,0.0010004859087274572,0.11948759779117796,0.008373136017647225
0.4,0.03,ubuntu_irc,0.0011197764916798792,0.019599998284382344,0.05713145865793971
0.4,0.03,europarl,0.0010001076320479236,0.012737064754468426,0.07851947456709484
0.4,0.03,hackernews,0.003114681764764548,0.01165082237856243,0.2673357865703607
0.4,0.03,pubmed_abstracts,0.0010035511837898346,0.06618116611255062,0.015163697510000821
0.4,0.03,uspto_backgrounds,0.0013208466129193926,0.07556475309321728,0.017479665569607377
0.4,0.15,arxiv,0.14040645068325563,0.11302252583217468,1.242287319713089
0.4,0.15,freelaw,0.1428681775414145,0.09682483215160405,1.475532405960878
0.4,0.15,nih_exporter,0.02939081215577037,0.005889680217640528,4.9902220612487955
0.4,0.15,pubmed_central,0.16550400278243702,0.11375419104995738,1.454926638349111
0.4,0.15,wikipedia_en,0.04999124647130797,0.07507775607969777,0.6658596244970406
0.4,0.15,dm_mathematics,0.01250984903964671,0.02546285409735114,0.49129799007677183
0.4,0.15,github,0.06184891361730566,0.11070066006999096,0.5587041087036104
0.4,0.15,philpapers,0.014011811248767905,0.005487697351757549,2.5533134119140755
0.4,0.15,stackexchange,0.17891837435757782,0.09943242344369017,1.7993966973851496
0.4,0.15,enron_emails,0.028312064305154674,0.0022110330440804327,12.804903292130419
0.4,0.15,gutenberg_pg_19,0.03569233538110569,0.04691494424769629,0.7607881870787542
0.4,0.15,pile_cc,0.010116542508132844,0.11948759779117796,0.08466604647800335
0.4,0.15,ubuntu_irc,0.0431569760344884,0.019599998284382344,2.2018867251063337
0.4,0.15,europarl,0.0011364473193718298,0.012737064754468426,0.089223643066833
0.4,0.15,hackernews,0.034532097205370114,0.01165082237856243,2.963919291131701
0.4,0.15,pubmed_abstracts,0.027970938374973855,0.06618116611255062,0.4226419692787709
0.4,0.15,uspto_backgrounds,0.023632960973919134,0.07556475309321728,0.3127511175053444
