loss_domain,gain_domain,replaced_domain,delta_log_excess_loss_per_unit_share,interpretation
metric/the_pile_arxiv_val_loss,arxiv,freelaw,-28.284271247344858,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,pubmed_central,1.1162113336776573,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,0.1729497190163607,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,dm_mathematics,1.0948740540059836,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,github,0.36852485955810454,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,philpapers,3.859912352006421,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,1.945994365480203,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,enron_emails,-2.9486684082024555,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,gutenberg_pg_19,0.3695214043364137,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,pile_cc,0.2887565644295125,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,ubuntu_irc,0.5550292808541208,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,europarl,1.9201940138704412,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,hackernews,0.32402365965801416,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,pubmed_abstracts,0.4395154976861164,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,0.3804492012358085,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,pubmed_central,1.9146006028685956,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,wikipedia_en,0.9713389882072989,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,dm_mathematics,1.8932633231969218,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,github,1.1669141287490428,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,philpapers,4.658301621197359,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,stackexchange,2.7443836346711414,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,enron_emails,-2.1502791390115172,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,gutenberg_pg_19,1.167910673527352,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,pile_cc,1.0871458336204507,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,ubuntu_irc,1.353418550045059,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,europarl,2.7185832830613794,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,hackernews,1.1224129288489524,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,pubmed_abstracts,1.2379047668770546,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,nih_exporter,uspto_backgrounds,1.1788384704267467,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,wikipedia_en,-0.9432616146612967,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,dm_mathematics,-0.02133727967167376,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,github,-0.7476864741195528,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,philpapers,2.7437010183287636,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,stackexchange,0.8297830318025456,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,enron_emails,-4.064879741880112,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,gutenberg_pg_19,-0.7466899293412437,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,pile_cc,-0.8274547692481449,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,ubuntu_irc,-0.5611820528235365,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,europarl,0.8039826801927838,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,hackernews,-0.7921876740196432,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,pubmed_abstracts,-0.6766958359915409,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_central,uspto_backgrounds,-0.7357621324418488,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,dm_mathematics,0.9219243349896229,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,github,0.19557514054174385,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,philpapers,3.68696263299006,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,stackexchange,1.7730446464638423,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,enron_emails,-3.121618127218816,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,gutenberg_pg_19,0.19657168532005298,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,pile_cc,0.11580684541315178,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,ubuntu_irc,0.38207956183776015,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,europarl,1.7472442948540805,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,hackernews,0.15107394064165347,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,pubmed_abstracts,0.2665657786697557,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,wikipedia_en,uspto_backgrounds,0.2074994822194478,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,github,-0.726349194447879,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,philpapers,2.7650382980004373,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,stackexchange,0.8511203114742194,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,enron_emails,-4.043542462208439,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,gutenberg_pg_19,-0.7253526496695699,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,pile_cc,-0.8061174895764711,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,ubuntu_irc,-0.5398447731518627,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,europarl,0.8253199598644576,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,hackernews,-0.7708503943479694,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,pubmed_abstracts,-0.6553585563198672,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,dm_mathematics,uspto_backgrounds,-0.7144248527701751,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,philpapers,3.4913874924483164,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,stackexchange,1.5774695059220984,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,enron_emails,-3.31719326776056,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,gutenberg_pg_19,0.0009965447783091275,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,pile_cc,-0.07976829512859207,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,ubuntu_irc,0.1865044212960163,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,europarl,1.5516691543123367,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,hackernews,-0.04450119990009038,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,pubmed_abstracts,0.07099063812801187,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,github,uspto_backgrounds,0.011924341677703953,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,stackexchange,-1.913917986526218,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,enron_emails,-6.808580760208876,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,gutenberg_pg_19,-3.490390947670007,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,pile_cc,-3.5711557875769087,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,ubuntu_irc,-3.3048830711523003,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,europarl,-1.9397183381359797,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,hackernews,-3.535888692348407,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,pubmed_abstracts,-3.4203968543203045,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,philpapers,uspto_backgrounds,-3.4794631507706124,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,stackexchange,enron_emails,-4.894662773682659,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,stackexchange,gutenberg_pg_19,-1.5764729611437893,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,stackexchange,pile_cc,-1.6572378010506905,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,stackexchange,ubuntu_irc,-1.3909650846260821,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,stackexchange,europarl,-0.02580035160976174,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,stackexchange,hackernews,-1.6219707058221888,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,stackexchange,pubmed_abstracts,-1.5064788677940866,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,stackexchange,uspto_backgrounds,-1.5655451642443945,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,enron_emails,gutenberg_pg_19,3.3181898125388694,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,enron_emails,pile_cc,3.2374249726319677,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,enron_emails,ubuntu_irc,3.503697689056576,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,enron_emails,europarl,4.868862422072897,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,enron_emails,hackernews,3.2726920678604694,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,enron_emails,pubmed_abstracts,3.388183905888572,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,enron_emails,uspto_backgrounds,3.329117609438264,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,gutenberg_pg_19,pile_cc,-0.0807648399069012,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,gutenberg_pg_19,ubuntu_irc,0.18550787651770717,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,gutenberg_pg_19,europarl,1.5506726095340275,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,gutenberg_pg_19,hackernews,-0.04549774467839951,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,gutenberg_pg_19,pubmed_abstracts,0.06999409334970275,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,gutenberg_pg_19,uspto_backgrounds,0.010927796899394826,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pile_cc,ubuntu_irc,0.26627271642460837,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pile_cc,europarl,1.6314374494409287,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pile_cc,hackernews,0.03526709522850169,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pile_cc,pubmed_abstracts,0.15075893325660394,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pile_cc,uspto_backgrounds,0.09169263680629602,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,ubuntu_irc,europarl,1.3651647330163204,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,ubuntu_irc,hackernews,-0.23100562119610668,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,ubuntu_irc,pubmed_abstracts,-0.11551378316800442,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,ubuntu_irc,uspto_backgrounds,-0.17458007961831234,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,europarl,hackernews,-1.596170354212427,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,europarl,pubmed_abstracts,-1.4806785161843248,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,europarl,uspto_backgrounds,-1.5397448126346327,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,hackernews,pubmed_abstracts,0.11549183802810226,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,hackernews,uspto_backgrounds,0.056425541577794336,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_arxiv_val_loss,pubmed_abstracts,uspto_backgrounds,-0.05906629645030792,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,freelaw,-0.0002963511062827884,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,nih_exporter,3.0580275690365837,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,pubmed_central,0.05333480824209236,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,wikipedia_en,0.028068185607024176,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,dm_mathematics,22.53672914256253,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,github,0.04081064800548395,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,philpapers,3.4408305200514206,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,stackexchange,0.25559828315932664,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,enron_emails,3.3538736018309274,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,gutenberg_pg_19,0.2709115041063821,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,pile_cc,0.02596330321167306,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,ubuntu_irc,1.0009990469738752,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,europarl,0.3122190170363499,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,hackernews,1.1992980954237251,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,pubmed_abstracts,0.023185745066944374,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,arxiv,uspto_backgrounds,0.06485939908113636,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,nih_exporter,3.0583239201428665,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,pubmed_central,0.053631159348375146,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,wikipedia_en,0.028364536713306965,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,dm_mathematics,22.537025493668814,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,github,0.04110699911176674,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,philpapers,3.4411268711577034,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,stackexchange,0.25589463426560943,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,enron_emails,3.35416995293721,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,gutenberg_pg_19,0.2712078552126649,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,pile_cc,0.02625965431795585,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,ubuntu_irc,1.001295398080158,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,europarl,0.3125153681426327,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,hackernews,1.199594446530008,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,pubmed_abstracts,0.023482096173227163,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,freelaw,uspto_backgrounds,0.06515575018741915,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,pubmed_central,-3.0046927607944913,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,wikipedia_en,-3.0299593834295595,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,dm_mathematics,19.478701573525946,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,github,-3.0172169210310997,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,philpapers,0.38280295101483686,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,stackexchange,-2.802429285877257,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,enron_emails,0.2958460327943436,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,gutenberg_pg_19,-2.787116064930202,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,pile_cc,-3.0320642658249106,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,ubuntu_irc,-2.0570285220627085,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,europarl,-2.7458085520002338,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,hackernews,-1.8587294736128588,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,pubmed_abstracts,-3.0348418239696393,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,nih_exporter,uspto_backgrounds,-2.9931681699554473,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,wikipedia_en,-0.02526662263506818,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,dm_mathematics,22.483394334320437,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,github,-0.012524160236608406,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,philpapers,3.3874957118093283,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,stackexchange,0.2022634749172343,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,enron_emails,3.300538793588835,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,gutenberg_pg_19,0.21757669586428974,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,pile_cc,-0.027371505030419296,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,ubuntu_irc,0.9476642387317828,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,europarl,0.25888420879425755,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,hackernews,1.1459632871816328,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,pubmed_abstracts,-0.030149063175147983,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,pubmed_central,uspto_backgrounds,0.011524590839044002,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,dm_mathematics,22.508660956955506,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,github,0.012742462398459775,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,philpapers,3.4127623344443965,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,stackexchange,0.22753009755230247,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,enron_emails,3.3258054162239032,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,gutenberg_pg_19,0.24284331849935792,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,pile_cc,-0.0021048823953511153,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,ubuntu_irc,0.972930861366851,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,europarl,0.28415083142932573,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,hackernews,1.171229909816701,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,pubmed_abstracts,-0.004882440540079802,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,wikipedia_en,uspto_backgrounds,0.03679121347411218,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,dm_mathematics,github,-22.495918494557046,increase gain_domain share by replacing replaced_domain share; conditional association
metric/the_pile_dm_mathematics_val_loss,dm_mathematics,philpapers,-19.095898622511108,increase gain_domain share by replacing replaced_domain share; conditional association
