Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,params_b,average,date,is_pretrained,months,predicted,scale_contribution,time_contribution
CYFRAGOVPL/PLLuM-12B-nc-base,12.248,2025-02-28,cc-by-nc-4.0,🟩 continuously pretrained,11.421222164941392,24.045310886226325,19.387664951963902,2.190332326283988,2.684563758389265,2.897135416666666,17.322325650118206,12.248,11.421222164941392,2025-02-28,True,8.706365503080082,15.293512979381248,3.7822850002898956,0.31610887877242844
CortexLM/btlm-7b-base-v0.2,6.885,2024-06-26,mit,🟢 pretrained,8.920254930681883,14.832865685270637,16.19327709708517,1.5105740181268883,0.4474272930648763,5.542187500000001,14.995197990543732,6.885,8.920254930681883,2024-06-26,True,0.5913757700205339,13.192613919238903,2.225179674239414,-0.2276848553194343
Deci/DeciLM-7B,7.044,2024-06-12,apache-2.0,🟢 pretrained,15.023477940437225,28.129474239462404,21.252729791067395,2.8700906344410875,6.040268456375841,13.0484375,18.799867021276597,7.044,15.023477940437225,2024-06-12,True,0.13141683778234087,13.22350910414165,2.286897176054249,-0.25850717223152364
EleutherAI/gpt-j-6b,6.0,2024-08-19,apache-2.0,🟢 pretrained,6.570411768928537,25.221855787089368,4.912818068323685,1.3595166163141994,0.0,5.252083333333334,2.6761968085106376,6.0,6.570411768928537,2024-08-19,True,2.3655030800821355,12.939574911695248,1.8532545871776995,-0.10879877580137526
EleutherAI/gpt-neo-1.3B,1.366,2024-06-12,mit,🟢 pretrained,5.391090848825532,20.790502533278367,3.024569180930987,1.0574018126888218,0.7829977628635317,4.873697916666666,1.8173758865248215,1.366,5.391090848825532,2024-06-12,True,0.13141683778234087,8.789436717703458,-2.147175210383943,-0.25850717223152364
EleutherAI/gpt-neo-125m,0.15,2024-08-10,mit,🟢 pretrained,4.407321907614049,19.054442213327302,3.436738951426704,0.6042296072507553,0.4474272930648763,2.6166666666666654,0.2844267139479898,0.15,4.407321907614049,2024-08-10,True,2.0698151950718686,2.9478871686451416,-8.118618809286064,-0.1286131223877184
EleutherAI/gpt-neo-2.7B,2.718,2024-06-12,mit,🟢 pretrained,6.431047800987447,25.896288514474925,4.178602667081014,1.0574018126888218,2.1252796420581683,3.5205729166666675,1.8081412529550824,2.718,6.431047800987447,2024-06-12,True,0.13141683778234087,10.649281762566993,-0.2873301655204069,-0.25850717223152364
EleutherAI/gpt-neox-20b,20.739,2024-06-09,apache-2.0,🟢 pretrained,6.1165221524743325,25.86880587951081,4.929114201526899,1.3595166163141994,0.0,2.816666666666666,1.725029550827422,20.739,6.1165221524743325,2024-06-09,True,0.03285420944558522,16.135954905767107,5.2059477598751585,-0.2651119544269714
EleutherAI/pythia-1.4b,1.515,2025-01-28,apache-2.0,🟢 pretrained,6.008531439497028,23.708094522533543,3.878989478987103,1.5105740181268883,1.5659955257270708,4.02265625,1.3648788416075646,1.515,6.008531439497028,2025-01-28,True,7.687885010266941,9.57566472546876,-1.8673138376029652,0.2478594627528019
EleutherAI/pythia-12b,12.0,2024-06-12,apache-2.0,🟢 pretrained,6.059841492942702,24.71475684517081,4.987531038290507,1.6616314199395772,0.0,3.787239583333335,1.2078900709219855,12.0,6.059841492942702,2024-06-12,True,0.13141683778234087,14.663599722228849,3.7269877941414475,-0.25850717223152364
EleutherAI/pythia-160m,0.213,2024-06-09,apache-2.0,🟢 pretrained,5.730394616916023,18.15516163778773,2.198832279508135,0.906344410876133,1.1185682326621946,10.675520833333332,1.3279403073286051,0.213,5.730394616916023,2024-06-09,True,0.03285420944558522,3.759292970742674,-7.1707141751492784,-0.2651119544269714
EleutherAI/pythia-1b,1.079,2025-01-27,apache-2.0,🟢 pretrained,5.07026822083096,22.079415949680183,2.2939863995762866,0.906344410876133,0.8948545861297527,2.734375,1.512632978723403,1.079,5.07026822083096,2025-01-27,True,7.655030800821355,8.65604039068474,-2.784736578321836,0.24565786868765263
EleutherAI/pythia-2.8b,2.909,2024-06-12,apache-2.0,🟢 pretrained,5.554946281603011,21.73222604910526,5.077786161905462,1.3595166163141994,0.0,3.63828125,1.521867612293143,2.909,5.554946281603011,2024-06-12,True,0.13141683778234087,10.832866095545368,-0.10374583254203211,-0.25850717223152364
EleutherAI/pythia-410m,0.506,2024-06-09,apache-2.0,🟢 pretrained,5.227072311484412,21.954525104500505,2.7154281203357478,0.9818731117824772,1.230425055928408,3.0598958333333326,1.4202866430260035,0.506,5.227072311484412,2024-06-09,True,0.03285420944558522,6.098244067950272,-4.831763077941681,-0.2651119544269714
EleutherAI/pythia-6.9b,6.9,2024-06-12,apache-2.0,🟢 pretrained,5.966546774741993,22.811362739752745,5.88163197981621,1.4350453172205435,0.2237136465324418,3.81484375,1.632683215130022,6.9,5.966546774741993,2024-06-12,True,0.13141683778234087,13.167674576586993,2.231062648499592,-0.25850717223152364
FlofloB/100k_fineweb_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,2024-11-29,apache-2.0,🟩 continuously pretrained,8.550830451075553,30.83219191744571,7.347825006715015,4.078549848942599,2.572706935123044,0.9440104166666662,5.529698581560284,0.5,8.550830451075553,2024-11-29,True,5.716632443531828,6.446874223019444,-4.864008696143327,0.11576381884384741
FlofloB/10k_continued_pretraining_Phi-3-mini-4k-instruct_Unsloth_merged_16bit,16.0,2024-11-22,apache-2.0,🟩 continuously pretrained,24.04356389387962,50.9730847484674,32.60779983085876,9.743202416918429,6.599552572706939,13.569791666666662,30.76795212765957,16.0,24.04356389387962,2024-11-22,True,5.486652977412731,15.800129099382135,4.504657338675409,0.10035266038780268
FlofloB/10k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,2024-11-25,apache-2.0,🟩 continuously pretrained,8.363924265648496,28.154408081667757,7.530228683558659,3.096676737160121,3.9149888143176734,1.47734375,6.009899527186761,0.5,8.363924265648496,2024-11-25,True,5.585215605749487,6.438067846758847,-4.864008696143327,0.10695744258325043
FlofloB/40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,2024-11-25,apache-2.0,🟩 continuously pretrained,8.381580312764262,30.157759190060155,7.532089563374818,3.3232628398791544,2.348993288590602,1.5361979166666664,5.391179078014184,0.5,8.381580312764262,2024-11-25,True,5.585215605749487,6.438067846758847,-4.864008696143327,0.10695744258325043
FlofloB/83k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,0.5,2024-11-26,apache-2.0,🟩 continuously pretrained,8.427461121141809,28.69397642699149,8.132273330945772,3.0211480362537766,3.1319910514541416,1.4184895833333335,6.166888297872341,0.5,8.427461121141809,2024-11-26,True,5.618069815195072,6.440269440823997,-4.864008696143327,0.10915903664839964
FlofloB/smollm2-135M_pretrained_1000k_fineweb,0.135,2025-01-14,apache-2.0,🟢 pretrained,4.20780841481479,14.845388014911546,2.708743994249611,0.906344410876133,1.6778523489932915,3.2911458333333328,1.8173758865248215,0.135,4.20780841481479,2025-01-14,True,7.227926078028747,3.008724193124369,-8.403432053035267,0.2170371458407125
FlofloB/smollm2-135M_pretrained_1000k_fineweb_uncovai_human_removed,0.135,2025-01-27,apache-2.0,🟢 pretrained,4.06134991308063,15.537329840379083,3.2742669103063946,0.6042296072507553,0.1118568232662209,3.2539062500000004,1.5865100472813234,0.135,4.06134991308063,2025-01-27,True,7.655030800821355,3.037344915971309,-8.403432053035267,0.24565786868765263
FlofloB/smollm2-135M_pretrained_1000k_fineweb_uncovai_selected,0.135,2025-01-12,apache-2.0,🟢 pretrained,5.055842764583344,14.67805422944454,2.113413506540018,0.6797583081570997,2.1252796420581683,8.995052083333334,1.7434988179669018,0.135,5.055842764583344,2025-01-12,True,7.162217659137577,3.0043210049940705,-8.403432053035267,0.212633957710414
FlofloB/smollm2-135M_pretrained_1200k_fineweb,0.135,2025-01-12,apache-2.0,🟢 pretrained,4.188312239003598,15.809607397261487,2.2372961213751537,0.6797583081570997,1.9015659955257265,3.65390625,0.8477393617021267,0.135,4.188312239003598,2025-01-12,True,7.162217659137577,3.0043210049940705,-8.403432053035267,0.212633957710414
FlofloB/smollm2-135M_pretrained_1200k_fineweb_uncovai_human_removed,0.135,2025-01-27,apache-2.0,🟢 pretrained,4.280291147523802,15.7771379938563,2.849419191919192,0.0755287009063444,2.0134228187919474,3.416666666666666,1.549571513002364,0.135,4.280291147523802,2025-01-27,True,7.655030800821355,3.037344915971309,-8.403432053035267,0.24565786868765263
FlofloB/smollm2-135M_pretrained_1200k_fineweb_uncovai_selected,0.135,2025-01-14,apache-2.0,🟢 pretrained,4.03050468089069,15.847063569107746,2.206545314818884,0.7552870090634441,1.789709172259505,1.7578124999999991,1.8266105200945613,0.135,4.03050468089069,2025-01-14,True,7.227926078028747,3.008724193124369,-8.403432053035267,0.2170371458407125
FlofloB/smollm2-135M_pretrained_1400k_fineweb,0.135,2025-01-13,apache-2.0,🟢 pretrained,4.992957353487976,17.638089158987043,2.1601002436397274,1.1329305135951662,2.1252796420581683,6.016666666666666,0.8846778959810875,0.135,4.992957353487976,2025-01-13,True,7.195071868583162,3.00652259905922,-8.403432053035267,0.21483555177556327
FlofloB/smollm2-135M_pretrained_1400k_fineweb_uncovai_human_removed,0.135,2025-01-28,apache-2.0,🟢 pretrained,5.063032045008573,17.066051410258115,2.630029274903698,1.0574018126888218,1.45413870246085,7.008854166666666,1.1617169030732852,0.135,5.063032045008573,2025-01-28,True,7.687885010266941,3.0395465100364585,-8.403432053035267,0.2478594627528019
FlofloB/smollm2-135M_pretrained_1400k_fineweb_uncovai_selected,0.135,2025-01-13,apache-2.0,🟢 pretrained,4.624639622707802,15.384956360235286,2.631616005839404,1.0574018126888218,2.460850111856823,4.691145833333335,1.521867612293143,0.135,4.624639622707802,2025-01-13,True,7.195071868583162,3.00652259905922,-8.403432053035267,0.21483555177556327
FlofloB/smollm2-135M_pretrained_200k_fineweb_uncovai_human_removed,0.135,2025-01-17,apache-2.0,🟢 pretrained,3.8819679158721776,14.747979804695984,2.8225402293478967,0.3776435045317221,1.1185682326621946,2.897135416666666,1.3279403073286051,0.135,3.8819679158721776,2025-01-17,True,7.326488706365503,3.0153289753198167,-8.403432053035267,0.22364192803616023
FlofloB/smollm2-135M_pretrained_200k_fineweb_uncovai_selected,0.135,2025-01-08,apache-2.0,🟢 pretrained,3.4920262751647098,13.45153082709433,2.3223515642593,0.7552870090634441,0.1118568232662209,2.853906249999999,1.457225177304964,0.135,3.4920262751647098,2025-01-08,True,7.030800821355236,2.9955146287334737,-8.403432053035267,0.20382758144981708
FlofloB/smollm2-135M_pretrained_400k_fineweb,0.135,2025-01-10,apache-2.0,🟢 pretrained,4.224944649553536,15.112678803352882,1.889766073379756,1.2084592145015105,0.3355704697986553,4.995052083333334,1.8081412529550824,0.135,4.224944649553536,2025-01-10,True,7.096509240246407,2.999917816863772,-8.403432053035267,0.20823076958011555
FlofloB/smollm2-135M_pretrained_400k_fineweb_uncovai_human_removed,0.135,2025-01-18,apache-2.0,🟢 pretrained,4.710926533341115,15.5648124753432,3.575492461700485,0.906344410876133,0.6711409395973182,6.016666666666666,1.5311022458628842,0.135,4.710926533341115,2025-01-18,True,7.359342915811088,3.017530569384966,-8.403432053035267,0.22584352210130945
FlofloB/smollm2-135M_pretrained_400k_fineweb_uncovai_selected,0.135,2025-01-09,apache-2.0,🟢 pretrained,4.38733089603933,15.842076800666677,2.073466032877798,0.6797583081570997,0.5592841163310973,5.416666666666668,1.7527334515366433,0.135,4.38733089603933,2025-01-09,True,7.063655030800821,2.9977162227986227,-8.403432053035267,0.20602917551496627
FlofloB/smollm2-135M_pretrained_600k_fineweb,0.135,2025-01-11,apache-2.0,🟢 pretrained,4.886739290130319,16.391618682872554,3.4240529327139213,0.6042296072507553,2.1252796420581683,5.373437499999999,1.4018173758865236,0.135,4.886739290130319,2025-01-11,True,7.129363449691992,3.002119410928921,-8.403432053035267,0.21043236364526477
FlofloB/smollm2-135M_pretrained_600k_fineweb_uncovai_human_removed,0.135,2025-01-19,apache-2.0,🟢 pretrained,4.644401741390064,16.414114549395602,2.418749257278669,0.906344410876133,1.6778523489932915,4.816666666666667,1.632683215130022,0.135,4.644401741390064,2025-01-19,True,7.392197125256674,3.019732163450115,-8.403432053035267,0.22804511616645873
FlofloB/smollm2-135M_pretrained_600k_fineweb_uncovai_selected,0.135,2025-01-09,apache-2.0,🟢 pretrained,4.657606376854525,16.059389087620847,2.165156425929996,0.7552870090634441,1.45413870246085,5.712760416666669,1.798906619385342,0.135,4.657606376854525,2025-01-09,True,7.063655030800821,2.9977162227986227,-8.403432053035267,0.20602917551496627
FlofloB/smollm2-135M_pretrained_800k_fineweb,0.135,2025-01-14,apache-2.0,🟢 pretrained,4.17450578103981,16.414114549395602,2.348388410325006,0.8308157099697886,0.0,3.765625,1.6880910165484628,0.135,4.17450578103981,2025-01-14,True,7.227926078028747,3.008724193124369,-8.403432053035267,0.2170371458407125
FlofloB/smollm2-135M_pretrained_800k_fineweb_uncovai_human_removed,0.135,2025-01-19,apache-2.0,🟢 pretrained,5.03254333671229,16.22927166584662,3.210703163941808,0.6797583081570997,0.3355704697986553,8.208854166666667,1.5311022458628842,0.135,5.03254333671229,2025-01-19,True,7.392197125256674,3.019732163450115,-8.403432053035267,0.22804511616645873
FlofloB/smollm2-135M_pretrained_800k_fineweb_uncovai_selected,0.135,2025-01-14,apache-2.0,🟢 pretrained,4.118739390912178,14.742993036254914,1.9228579509844617,0.4531722054380665,1.5659955257270708,4.579427083333333,1.4479905437352243,0.135,4.118739390912178,2025-01-14,True,7.227926078028747,3.008724193124369,-8.403432053035267,0.2170371458407125
FlofloB/smollm2_pretrained_200k_fineweb,0.135,2025-01-08,apache-2.0,🟢 pretrained,4.00559929596115,15.270039051937747,2.872523000621309,0.3776435045317221,0.0,3.7421875,1.7712027186761226,0.135,4.00559929596115,2025-01-08,True,7.030800821355236,2.9955146287334737,-8.403432053035267,0.20382758144981708
FlofloB/test_continued_pretraining_Phi-3-mini-4k-instruct_Unsloth_merged_16bit,16.0,2024-11-21,apache-2.0,🟩 continuously pretrained,24.48570245546706,52.15461641777151,32.882433170322564,11.027190332326285,8.165548098434002,12.452083333333327,30.232343380614655,16.0,24.48570245546706,2024-11-21,True,5.453798767967146,15.797927505316986,4.504657338675409,0.09815106632265345
GreenNode/GreenNode-small-9B-it,9.242,2024-10-14,,🟩 continuously pretrained,31.194506347689323,74.36125037123722,41.899925635193455,17.447129909365557,9.284116331096197,11.652083333333335,32.52253250591017,9.242,31.194506347689323,2024-10-14,True,4.205338809034908,14.23065451394091,3.021044921775004,0.014490491846982286
HelpingAI/Priya-10B,10.211,2024-12-18,other,🟩 continuously pretrained,14.14328407509064,40.429283190822574,19.96679684299346,1.8882175226586104,0.7829977628635317,5.208854166666668,16.583554964539008,10.211,14.14328407509064,2024-12-18,True,6.3408624229979464,14.643289341407709,3.290576135007101,0.15759410608168298
HelpingAI/Priya-3B,2.81,2024-12-14,other,🟩 continuously pretrained,13.429592166190526,45.25780484669566,14.335273409626751,1.4350453172205435,0.8948545861297527,3.779427083333333,14.875147754137116,2.81,13.429592166190526,2024-12-14,True,6.209445585215605,11.146562091685762,-0.19734473845424788,0.14878772982108598
HuggingFaceTB/SmolLM-1.7B,1.71,2024-07-18,apache-2.0,🟢 pretrained,5.576455936269043,23.61567308075905,4.4111278515492005,1.6616314199395772,0.0,2.1283854166666667,1.6419178486997636,1.71,5.576455936269043,2024-07-18,True,1.3141683778234086,9.475856441681906,-1.5400128727508666,-0.17924978588615098
HuggingFaceTB/SmolLM-135M,0.13,2024-07-18,apache-2.0,🟢 pretrained,6.951489892134872,21.24762297370976,3.2853998220852616,1.3595166163141994,1.1185682326621946,13.3421875,1.3556442080378246,0.13,6.951489892134872,2024-07-18,True,1.3141683778234086,2.510416640429189,-8.505452674003584,-0.17924978588615098
HuggingFaceTB/SmolLM-360M,0.36,2024-07-18,apache-2.0,🟢 pretrained,6.260888857386585,21.33505764704318,3.284915303246592,1.1329305135951662,2.348993288590602,8.089322916666665,1.374113475177304,0.36,6.260888857386585,2024-07-18,True,1.3141683778234086,5.263840012895215,-5.752029301537557,-0.17924978588615098
HuggingFaceTB/SmolLM2-1.7B,1.71,2024-11-06,apache-2.0,🟢 pretrained,9.5836210417532,24.40003634800108,9.301788459551682,2.643504531722054,3.9149888143176734,4.601041666666668,12.640366430260045,1.71,9.5836210417532,2024-11-06,True,4.960985626283367,9.720233382913472,-1.5400128727508666,0.06512715534541481
HuggingFaceTB/SmolLM2-135M,0.135,2024-11-06,apache-2.0,🟢 pretrained,5.695927392648112,18.177657504310783,3.70807758683998,1.2084592145015105,0.0,10.03046875,1.0509013002364058,0.135,5.695927392648112,2024-11-06,True,4.960985626283367,2.8568142026290713,-8.403432053035267,0.06512715534541481
HuggingFaceTB/SmolLM2-360M,0.36,2024-11-06,apache-2.0,🟢 pretrained,6.251282350517303,21.145227995053123,5.543603155369513,1.2084592145015105,0.0,7.728385416666666,1.8820183215130024,0.36,6.251282350517303,2024-11-06,True,4.960985626283367,5.508216954126781,-5.752029301537557,0.06512715534541481
INSAIT-Institute/BgGPT-Gemma-2-27B-IT-v1.0,27.227,2024-12-15,gemma,🟩 continuously pretrained,1.6780628068086922,0.0,2.3470409575204094,0.0,1.342281879194629,4.524739583333332,1.854314420803781,27.227,1.6780628068086922,2024-12-15,True,6.242299794661191,17.287855656243686,5.941747232038529,0.15098932388623526
IntervitensInc/internlm2_5-20b-llamafied,19.861,2024-11-11,apache-2.0,🟢 pretrained,29.216880819026148,34.099522600034575,63.47057952429436,17.14501510574018,11.74496644295302,14.942708333333329,33.89849290780142,19.861,29.216880819026148,2024-11-11,True,5.125256673511293,16.360265917995296,5.089011692005212,0.07613512567116101
JackFram/llama-160m,0.162,2024-11-30,apache-2.0,🟢 pretrained,4.738129846796396,17.91036671586945,2.033606152852728,0.8308157099697886,1.5659955257270708,4.667708333333334,1.4202866430260035,0.162,4.738129846796396,2024-11-30,True,5.749486652977413,3.4025087609774127,-7.910575752250508,0.11796541290899662
JackFram/llama-68m,0.068,2024-11-30,apache-2.0,🟢 pretrained,4.963339700174584,17.26341662344801,2.5910478068354776,0.6042296072507553,1.1185682326621946,6.607031250000001,1.595744680851063,0.068,4.963339700174584,2024-11-30,True,5.749486652977413,1.055869348248178,-10.257215164979742,0.11796541290899662
KingNish/qwen-1b-continued,1.277,2025-03-07,apache-2.0,🟩 continuously pretrained,4.792600271519794,12.547263483113692,4.387464099020609,0.906344410876133,2.348993288590602,5.667708333333335,2.897828014184398,1.277,4.792600271519794,2025-03-07,True,8.936344969199178,9.197339010776009,-2.3293001267713866,0.331520037228473
KingNish/qwen-1b-continued-v2,1.277,2025-03-07,apache-2.0,🟩 continuously pretrained,4.4416424249765365,15.787111530738445,4.989232311632899,1.0574018126888218,0.0,2.675520833333333,2.14058806146572,1.277,4.4416424249765365,2025-03-07,True,8.936344969199178,9.197339010776009,-2.3293001267713866,0.331520037228473
KingNish/qwen-1b-continued-v2.1,1.277,2025-03-08,apache-2.0,🟩 continuously pretrained,5.461814579103264,11.26832360359402,4.197658352409889,0.906344410876133,2.348993288590602,10.957812500000005,3.0917553191489344,1.277,5.461814579103264,2025-03-08,True,8.969199178644764,9.19954060484116,-2.3293001267713866,0.33372163129362237
KingNish/qwen-1b-continued-v2.2,1.277,2025-03-09,apache-2.0,🟩 continuously pretrained,4.441641963318088,14.12596355447989,4.956068589848116,1.5105740181268883,0.8948545861297527,2.24609375,2.916297281323877,1.277,4.441641963318088,2025-03-09,True,9.00205338809035,9.201742198906308,-2.3293001267713866,0.33592322535877156
LLM360/K2,65.286,2024-06-26,apache-2.0,🟢 pretrained,14.643753289939289,22.52157608478836,28.220402834201128,2.719033232628399,3.5794183445190177,8.550000000000004,22.27208924349881,65.286,14.643753289939289,2024-06-26,True,0.5913757700205339,19.27333741358668,8.305903168587188,-0.2276848553194343
Locutusque/TinyMistral-248M-v2.5,0.248,2024-09-17,apache-2.0,🟩 continuously pretrained,4.035439468453137,13.36409615376091,3.181881126755549,0.9818731117824772,0.1118568232662209,5.069531250000002,1.5033983451536632,0.248,4.035439468453137,2024-09-17,True,3.3182751540041067,4.390711877098896,-6.759454675307981,-0.04495254791204725
M4-ai/TinyMistral-248M-v3,0.248,2024-10-18,apache-2.0,🟢 pretrained,4.20563631018843,16.386631914431486,1.7775539303863237,0.4531722054380665,0.0,5.150000000000001,1.466459810874704,0.248,4.20563631018843,2024-10-18,True,4.336755646817249,4.458961293118523,-6.759454675307981,0.023296868107579263
NYTK/PULI-GPTrio,7.673,2024-08-24,cc-by-nc-4.0,🟢 pretrained,5.833727911056492,21.79716485591564,3.015221141570497,1.2084592145015105,2.1252796420581683,5.3343750000000005,1.521867612293143,7.673,5.833727911056492,2024-08-24,True,2.529774127310062,13.615436364645948,2.5181080698026537,-0.09779080547562903
