model,date_utc,year,task,score,metric,params_b_c1,c1_model_match
01-ai/Yi-1.5-34B-Chat-16K,2024-07-17 09:26:00.739881516+00:00,2024,MMLU-Pro,45.44547872340425,"acc,none",34.389,True
01-ai/Yi-1.5-6B,2024-06-17 14:33:04.016424417+00:00,2024,ARC-Challenge,56.996587030716725,"acc_norm,none",6.061,True
01-ai/Yi-1.5-6B,2024-06-17 14:33:04.016424417+00:00,2024,MuSR,43.783068783068785,"acc_norm,none",6.061,True
01-ai/Yi-1.5-6B,2024-06-17 14:33:04.016424417+00:00,2024,IFEval,21.996303142329023,"prompt_level_strict_acc,none",6.061,True
01-ai/Yi-1.5-6B,2024-06-17 14:33:04.016424417+00:00,2024,MATH-Hard,5.664652567975831,"exact_match,none",6.061,True
01-ai/Yi-1.5-6B,2024-06-17 14:33:04.016424417+00:00,2024,GPQA,31.20805369127517,"acc_norm,none",6.061,True
01-ai/Yi-1.5-6B,2024-06-17 14:33:04.016424417+00:00,2024,BBH,44.81860788057629,"acc_norm,none",6.061,True
01-ai/Yi-1.5-6B,2024-06-17 14:33:04.016424417+00:00,2024,MMLU-Pro,31.008976063829785,"acc,none",6.061,True
01-ai/Yi-1.5-6B-Chat,2024-06-17 10:19:06.318144560+00:00,2024,ARC-Challenge,59.21501706484642,"acc_norm,none",6.061,True
01-ai/Yi-1.5-6B-Chat,2024-06-17 10:19:06.318144560+00:00,2024,MuSR,44.17989417989418,"acc_norm,none",6.061,True
01-ai/Yi-1.5-6B-Chat,2024-06-17 10:19:06.318144560+00:00,2024,IFEval,42.329020332717185,"prompt_level_strict_acc,none",6.061,True
01-ai/Yi-1.5-6B-Chat,2024-06-17 10:19:06.318144560+00:00,2024,MATH-Hard,12.537764350453173,"exact_match,none",6.061,True
01-ai/Yi-1.5-6B-Chat,2024-06-17 10:19:06.318144560+00:00,2024,GPQA,31.79530201342282,"acc_norm,none",6.061,True
01-ai/Yi-1.5-6B-Chat,2024-06-17 10:19:06.318144560+00:00,2024,BBH,45.061621246311404,"acc_norm,none",6.061,True
01-ai/Yi-1.5-6B-Chat,2024-06-17 10:19:06.318144560+00:00,2024,MMLU-Pro,31.97307180851064,"acc,none",6.061,True
01-ai/Yi-1.5-9B,2024-06-16 17:23:32.966049433+00:00,2024,ARC-Challenge,61.51877133105802,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B,2024-06-16 17:23:32.966049433+00:00,2024,MuSR,43.25396825396825,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B,2024-06-16 17:23:32.966049433+00:00,2024,IFEval,23.10536044362292,"prompt_level_strict_acc,none",8.829,True
01-ai/Yi-1.5-9B,2024-06-16 17:23:32.966049433+00:00,2024,MATH-Hard,10.196374622356496,"exact_match,none",8.829,True
01-ai/Yi-1.5-9B,2024-06-16 17:23:32.966049433+00:00,2024,GPQA,37.919463087248324,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B,2024-06-16 17:23:32.966049433+00:00,2024,BBH,51.3626106578719,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B,2024-06-16 17:23:32.966049433+00:00,2024,MMLU-Pro,39.16223404255319,"acc,none",8.829,True
01-ai/Yi-1.5-9B-32K,2024-06-16 17:16:00.166558504+00:00,2024,ARC-Challenge,61.092150170648466,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-32K,2024-06-16 17:16:00.166558504+00:00,2024,MuSR,41.7989417989418,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-32K,2024-06-16 17:16:00.166558504+00:00,2024,IFEval,18.484288354898336,"prompt_level_strict_acc,none",8.829,True
01-ai/Yi-1.5-9B-32K,2024-06-16 17:16:00.166558504+00:00,2024,MATH-Hard,9.592145015105741,"exact_match,none",8.829,True
01-ai/Yi-1.5-9B-32K,2024-06-16 17:16:00.166558504+00:00,2024,GPQA,35.90604026845637,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-32K,2024-06-16 17:16:00.166558504+00:00,2024,BBH,49.401145634438464,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-32K,2024-06-16 17:16:00.166558504+00:00,2024,MMLU-Pro,37.649601063829785,"acc,none",8.829,True
01-ai/Yi-1.5-9B-Chat,2024-06-17 09:17:42.736073256+00:00,2024,ARC-Challenge,61.262798634812285,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-Chat,2024-06-17 09:17:42.736073256+00:00,2024,MuSR,42.46031746031746,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-Chat,2024-06-17 09:17:42.736073256+00:00,2024,IFEval,55.08317929759704,"prompt_level_strict_acc,none",8.829,True
01-ai/Yi-1.5-9B-Chat,2024-06-17 09:17:42.736073256+00:00,2024,MATH-Hard,11.63141993957704,"exact_match,none",8.829,True
01-ai/Yi-1.5-9B-Chat,2024-06-17 09:17:42.736073256+00:00,2024,GPQA,33.47315436241611,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-Chat,2024-06-17 09:17:42.736073256+00:00,2024,BBH,55.28554070473876,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-Chat,2024-06-17 09:17:42.736073256+00:00,2024,MMLU-Pro,39.752327127659576,"acc,none",8.829,True
01-ai/Yi-1.5-9B-Chat-16K,2024-06-16 17:31:08.721760273+00:00,2024,ARC-Challenge,60.83617747440273,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-Chat-16K,2024-06-16 17:31:08.721760273+00:00,2024,MuSR,40.87301587301587,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-Chat-16K,2024-06-16 17:31:08.721760273+00:00,2024,IFEval,35.12014787430684,"prompt_level_strict_acc,none",8.829,True
01-ai/Yi-1.5-9B-Chat-16K,2024-06-16 17:31:08.721760273+00:00,2024,MATH-Hard,12.613293051359516,"exact_match,none",8.829,True
01-ai/Yi-1.5-9B-Chat-16K,2024-06-16 17:31:08.721760273+00:00,2024,GPQA,30.87248322147651,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-Chat-16K,2024-06-16 17:31:08.721760273+00:00,2024,BBH,51.24110397500434,"acc_norm,none",8.829,True
01-ai/Yi-1.5-9B-Chat-16K,2024-06-16 17:31:08.721760273+00:00,2024,MMLU-Pro,39.935172872340424,"acc,none",8.829,True
01-ai/Yi-34B,2024-06-16 17:22:24.936901569+00:00,2024,ARC-Challenge,64.59044368600682,"acc_norm,none",34.389,True
01-ai/Yi-34B,2024-06-16 17:22:24.936901569+00:00,2024,MuSR,41.13756613756614,"acc_norm,none",34.389,True
01-ai/Yi-34B,2024-06-16 17:22:24.936901569+00:00,2024,IFEval,24.58410351201479,"prompt_level_strict_acc,none",34.389,True
01-ai/Yi-34B,2024-06-16 17:22:24.936901569+00:00,2024,MATH-Hard,4.45619335347432,"exact_match,none",34.389,True
01-ai/Yi-34B,2024-06-16 17:22:24.936901569+00:00,2024,GPQA,36.66107382550335,"acc_norm,none",34.389,True
01-ai/Yi-34B,2024-06-16 17:22:24.936901569+00:00,2024,BBH,54.504426314875886,"acc_norm,none",34.389,True
01-ai/Yi-34B,2024-06-16 17:22:24.936901569+00:00,2024,MMLU-Pro,44.1156914893617,"acc,none",34.389,True
01-ai/Yi-34B-200K,2024-06-16 17:28:21.647815704+00:00,2024,ARC-Challenge,66.6382252559727,"acc_norm,none",34.389,True
01-ai/Yi-34B-200K,2024-06-16 17:28:21.647815704+00:00,2024,MuSR,38.095238095238095,"acc_norm,none",34.389,True
01-ai/Yi-34B-200K,2024-06-16 17:28:21.647815704+00:00,2024,IFEval,12.384473197781885,"prompt_level_strict_acc,none",34.389,True
01-ai/Yi-34B-200K,2024-06-16 17:28:21.647815704+00:00,2024,MATH-Hard,4.45619335347432,"exact_match,none",34.389,True
01-ai/Yi-34B-200K,2024-06-16 17:28:21.647815704+00:00,2024,GPQA,35.65436241610738,"acc_norm,none",34.389,True
01-ai/Yi-34B-200K,2024-06-16 17:28:21.647815704+00:00,2024,BBH,54.01839958340566,"acc_norm,none",34.389,True
01-ai/Yi-34B-200K,2024-06-16 17:28:21.647815704+00:00,2024,MMLU-Pro,45.34574468085106,"acc,none",34.389,True
01-ai/Yi-34B-Chat,2024-06-16 17:32:43.048401356+00:00,2024,ARC-Challenge,61.60409556313993,"acc_norm,none",34.389,True
01-ai/Yi-34B-Chat,2024-06-16 17:32:43.048401356+00:00,2024,MuSR,39.682539682539684,"acc_norm,none",34.389,True
01-ai/Yi-34B-Chat,2024-06-16 17:32:43.048401356+00:00,2024,IFEval,41.21996303142329,"prompt_level_strict_acc,none",34.389,True
01-ai/Yi-34B-Chat,2024-06-16 17:32:43.048401356+00:00,2024,MATH-Hard,4.305135951661631,"exact_match,none",34.389,True
01-ai/Yi-34B-Chat,2024-06-16 17:32:43.048401356+00:00,2024,GPQA,33.808724832214764,"acc_norm,none",34.389,True
01-ai/Yi-34B-Chat,2024-06-16 17:32:43.048401356+00:00,2024,BBH,55.268182607186255,"acc_norm,none",34.389,True
01-ai/Yi-34B-Chat,2024-06-16 17:32:43.048401356+00:00,2024,MMLU-Pro,40.93251329787234,"acc,none",34.389,True
01-ai/Yi-6B,2024-06-16 17:25:29.329074383+00:00,2024,ARC-Challenge,54.351535836177476,"acc_norm,none",6.061,True
01-ai/Yi-6B,2024-06-16 17:25:29.329074383+00:00,2024,MuSR,39.285714285714285,"acc_norm,none",6.061,True
01-ai/Yi-6B,2024-06-16 17:25:29.329074383+00:00,2024,IFEval,22.73567467652495,"prompt_level_strict_acc,none",6.061,True
01-ai/Yi-6B,2024-06-16 17:25:29.329074383+00:00,2024,MATH-Hard,1.5105740181268883,"exact_match,none",6.061,True
01-ai/Yi-6B,2024-06-16 17:25:29.329074383+00:00,2024,GPQA,26.929530201342285,"acc_norm,none",6.061,True
01-ai/Yi-6B,2024-06-16 17:25:29.329074383+00:00,2024,BBH,42.66620378406527,"acc_norm,none",6.061,True
01-ai/Yi-6B,2024-06-16 17:25:29.329074383+00:00,2024,MMLU-Pro,29.911901595744684,"acc,none",6.061,True
01-ai/Yi-6B-200K,2024-06-16 17:26:42.040420771+00:00,2024,ARC-Challenge,53.7542662116041,"acc_norm,none",6.061,True
01-ai/Yi-6B-200K,2024-06-16 17:26:42.040420771+00:00,2024,MuSR,45.767195767195766,"acc_norm,none",6.061,True
01-ai/Yi-6B-200K,2024-06-16 17:26:42.040420771+00:00,2024,IFEval,7.393715341959335,"prompt_level_strict_acc,none",6.061,True
01-ai/Yi-6B-200K,2024-06-16 17:26:42.040420771+00:00,2024,MATH-Hard,1.2084592145015105,"exact_match,none",6.061,True
01-ai/Yi-6B-200K,2024-06-16 17:26:42.040420771+00:00,2024,GPQA,28.187919463087248,"acc_norm,none",6.061,True
01-ai/Yi-6B-200K,2024-06-16 17:26:42.040420771+00:00,2024,BBH,42.45790661343517,"acc_norm,none",6.061,True
01-ai/Yi-6B-200K,2024-06-16 17:26:42.040420771+00:00,2024,MMLU-Pro,28.440824468085108,"acc,none",6.061,True
01-ai/Yi-6B-Chat,2024-06-16 17:29:44.700621605+00:00,2024,ARC-Challenge,53.7542662116041,"acc_norm,none",6.061,True
01-ai/Yi-6B-Chat,2024-06-16 17:29:44.700621605+00:00,2024,MuSR,36.77248677248677,"acc_norm,none",6.061,True
01-ai/Yi-6B-Chat,2024-06-16 17:29:44.700621605+00:00,2024,IFEval,28.09611829944547,"prompt_level_strict_acc,none",6.061,True
01-ai/Yi-6B-Chat,2024-06-16 17:29:44.700621605+00:00,2024,MATH-Hard,0.6797583081570997,"exact_match,none",6.061,True
01-ai/Yi-6B-Chat,2024-06-16 17:29:44.700621605+00:00,2024,GPQA,29.446308724832214,"acc_norm,none",6.061,True
01-ai/Yi-6B-Chat,2024-06-16 17:29:44.700621605+00:00,2024,BBH,40.87831973615692,"acc_norm,none",6.061,True
01-ai/Yi-6B-Chat,2024-06-16 17:29:44.700621605+00:00,2024,MMLU-Pro,30.61003989361702,"acc,none",6.061,True
01-ai/Yi-9B,2024-06-17 09:17:41.259587765+00:00,2024,ARC-Challenge,60.580204778157,"acc_norm,none",8.829,True
01-ai/Yi-9B,2024-06-17 09:17:41.259587765+00:00,2024,MuSR,40.476190476190474,"acc_norm,none",8.829,True
01-ai/Yi-9B,2024-06-17 09:17:41.259587765+00:00,2024,IFEval,21.441774491682068,"prompt_level_strict_acc,none",8.829,True
01-ai/Yi-9B,2024-06-17 09:17:41.259587765+00:00,2024,MATH-Hard,4.380664652567976,"exact_match,none",8.829,True
01-ai/Yi-9B,2024-06-17 09:17:41.259587765+00:00,2024,GPQA,31.79530201342282,"acc_norm,none",8.829,True
01-ai/Yi-9B,2024-06-17 09:17:41.259587765+00:00,2024,BBH,49.2622808540184,"acc_norm,none",8.829,True
01-ai/Yi-9B,2024-06-17 09:17:41.259587765+00:00,2024,MMLU-Pro,35.73803191489361,"acc,none",8.829,True
01-ai/Yi-9B-200K,2024-06-16 17:12:46.218263865+00:00,2024,ARC-Challenge,57.5938566552901,"acc_norm,none",8.829,True
01-ai/Yi-9B-200K,2024-06-16 17:12:46.218263865+00:00,2024,MuSR,42.857142857142854,"acc_norm,none",8.829,True
01-ai/Yi-9B-200K,2024-06-16 17:12:46.218263865+00:00,2024,IFEval,18.484288354898336,"prompt_level_strict_acc,none",8.829,True
01-ai/Yi-9B-200K,2024-06-16 17:12:46.218263865+00:00,2024,MATH-Hard,5.81570996978852,"exact_match,none",8.829,True
01-ai/Yi-9B-200K,2024-06-16 17:12:46.218263865+00:00,2024,GPQA,31.543624161073826,"acc_norm,none",8.829,True
01-ai/Yi-9B-200K,2024-06-16 17:12:46.218263865+00:00,2024,BBH,47.80420065960771,"acc_norm,none",8.829,True
01-ai/Yi-9B-200K,2024-06-16 17:12:46.218263865+00:00,2024,MMLU-Pro,36.22007978723404,"acc,none",8.829,True
01-ai/Yi-Coder-9B-Chat,2024-09-13 23:26:13.610733032+00:00,2024,MuSR,39.81481481481482,"acc_norm,none",8.829,True
01-ai/Yi-Coder-9B-Chat,2024-09-13 23:26:13.610733032+00:00,2024,IFEval,42.14417744916821,"prompt_level_strict_acc,none",8.829,True
01-ai/Yi-Coder-9B-Chat,2024-09-13 23:26:13.610733032+00:00,2024,MATH-Hard,2.9456193353474323,"exact_match,none",8.829,True
01-ai/Yi-Coder-9B-Chat,2024-09-13 23:26:13.610733032+00:00,2024,GPQA,24.748322147651006,"acc_norm,none",8.829,True
01-ai/Yi-Coder-9B-Chat,2024-09-13 23:26:13.610733032+00:00,2024,BBH,48.029855927790315,"acc_norm,none",8.829,True
01-ai/Yi-Coder-9B-Chat,2024-09-13 23:26:13.610733032+00:00,2024,MMLU-Pro,24.251994680851062,"acc,none",8.829,True
1-800-LLMs/Qwen-2.5-14B-Hindi,2025-02-06 05:13:44.218462706+00:00,2025,MuSR,44.84126984126984,"acc_norm,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi,2025-02-06 05:13:44.218462706+00:00,2025,IFEval,52.12569316081331,"prompt_level_strict_acc,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi,2025-02-06 05:13:44.218462706+00:00,2025,MATH-Hard,25.075528700906347,"exact_match,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi,2025-02-06 05:13:44.218462706+00:00,2025,GPQA,36.241610738255034,"acc_norm,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi,2025-02-06 05:13:44.218462706+00:00,2025,BBH,64.97135913903837,"acc_norm,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi,2025-02-06 05:13:44.218462706+00:00,2025,MMLU-Pro,52.62632978723404,"acc,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06 09:40:54.611308813+00:00,2025,MuSR,44.84126984126984,"acc_norm,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06 09:40:54.611308813+00:00,2025,IFEval,28.09611829944547,"prompt_level_strict_acc,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06 09:40:54.611308813+00:00,2025,MATH-Hard,30.589123867069485,"exact_match,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06 09:40:54.611308813+00:00,2025,GPQA,36.99664429530201,"acc_norm,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06 09:40:54.611308813+00:00,2025,BBH,62.575941676792226,"acc_norm,none",14.77,True
1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,2025-02-06 09:40:54.611308813+00:00,2025,MMLU-Pro,51.637300531914896,"acc,none",14.77,True
1024m/PHI-4-Hindi,2025-02-06 05:10:21.255594969+00:00,2025,MuSR,49.074074074074076,"acc_norm,none",14.66,True
1024m/PHI-4-Hindi,2025-02-06 05:10:21.255594969+00:00,2025,IFEval,0.5545286506469501,"prompt_level_strict_acc,none",14.66,True
1024m/PHI-4-Hindi,2025-02-06 05:10:21.255594969+00:00,2025,MATH-Hard,23.11178247734139,"exact_match,none",14.66,True
1024m/PHI-4-Hindi,2025-02-06 05:10:21.255594969+00:00,2025,GPQA,39.76510067114094,"acc_norm,none",14.66,True
1024m/PHI-4-Hindi,2025-02-06 05:10:21.255594969+00:00,2025,BBH,66.96754035757681,"acc_norm,none",14.66,True
1024m/PHI-4-Hindi,2025-02-06 05:10:21.255594969+00:00,2025,MMLU-Pro,52.3936170212766,"acc,none",14.66,True
1024m/QWEN-14B-B100,2025-02-06 09:42:47.248487234+00:00,2025,MuSR,40.87301587301587,"acc_norm,none",14.77,True
1024m/QWEN-14B-B100,2025-02-06 09:42:47.248487234+00:00,2025,IFEval,74.3068391866913,"prompt_level_strict_acc,none",14.77,True
1024m/QWEN-14B-B100,2025-02-06 09:42:47.248487234+00:00,2025,MATH-Hard,0.0,"exact_match,none",14.77,True
1024m/QWEN-14B-B100,2025-02-06 09:42:47.248487234+00:00,2025,GPQA,35.06711409395973,"acc_norm,none",14.77,True
1024m/QWEN-14B-B100,2025-02-06 09:42:47.248487234+00:00,2025,BBH,65.11022391945843,"acc_norm,none",14.77,True
1024m/QWEN-14B-B100,2025-02-06 09:42:47.248487234+00:00,2025,MMLU-Pro,51.78690159574468,"acc,none",14.77,True
152334H/miqu-1-70b-sf,2024-07-25 22:30:38.936464071+00:00,2024,MuSR,45.767195767195766,"acc_norm,none",68.977,True
152334H/miqu-1-70b-sf,2024-07-25 22:30:38.936464071+00:00,2024,IFEval,45.84103512014787,"prompt_level_strict_acc,none",68.977,True
152334H/miqu-1-70b-sf,2024-07-25 22:30:38.936464071+00:00,2024,MATH-Hard,10.80060422960725,"exact_match,none",68.977,True
152334H/miqu-1-70b-sf,2024-07-25 22:30:38.936464071+00:00,2024,GPQA,35.06711409395973,"acc_norm,none",68.977,True
152334H/miqu-1-70b-sf,2024-07-25 22:30:38.936464071+00:00,2024,BBH,60.87484811664642,"acc_norm,none",68.977,True
152334H/miqu-1-70b-sf,2024-07-25 22:30:38.936464071+00:00,2024,MMLU-Pro,42.278922872340424,"acc,none",68.977,True
1TuanPham/T-VisStar-7B-v0.1,2024-09-21 09:59:58.583177328+00:00,2024,MuSR,43.65079365079365,"acc_norm,none",7.294,True
1TuanPham/T-VisStar-7B-v0.1,2024-09-21 09:59:58.583177328+00:00,2024,IFEval,29.57486136783734,"prompt_level_strict_acc,none",7.294,True
1TuanPham/T-VisStar-7B-v0.1,2024-09-21 09:59:58.583177328+00:00,2024,MATH-Hard,4.531722054380665,"exact_match,none",7.294,True
1TuanPham/T-VisStar-7B-v0.1,2024-09-21 09:59:58.583177328+00:00,2024,GPQA,28.523489932885905,"acc_norm,none",7.294,True
1TuanPham/T-VisStar-7B-v0.1,2024-09-21 09:59:58.583177328+00:00,2024,BBH,50.32112480472141,"acc_norm,none",7.294,True
1TuanPham/T-VisStar-7B-v0.1,2024-09-21 09:59:58.583177328+00:00,2024,MMLU-Pro,32.106050531914896,"acc,none",7.294,True
1TuanPham/T-VisStar-v0.1,2024-09-21 08:28:47.982512236+00:00,2024,MuSR,43.65079365079365,"acc_norm,none",7.294,True
1TuanPham/T-VisStar-v0.1,2024-09-21 08:28:47.982512236+00:00,2024,IFEval,29.57486136783734,"prompt_level_strict_acc,none",7.294,True
1TuanPham/T-VisStar-v0.1,2024-09-21 08:28:47.982512236+00:00,2024,MATH-Hard,4.531722054380665,"exact_match,none",7.294,True
1TuanPham/T-VisStar-v0.1,2024-09-21 08:28:47.982512236+00:00,2024,GPQA,28.523489932885905,"acc_norm,none",7.294,True
1TuanPham/T-VisStar-v0.1,2024-09-21 08:28:47.982512236+00:00,2024,BBH,50.32112480472141,"acc_norm,none",7.294,True
1TuanPham/T-VisStar-v0.1,2024-09-21 08:28:47.982512236+00:00,2024,MMLU-Pro,32.106050531914896,"acc,none",7.294,True
3rd-Degree-Burn/L-3.1-Science-Writer-8B,2024-11-19 23:49:48.332010269+00:00,2024,MuSR,39.55026455026455,"acc_norm,none",8.03,True
3rd-Degree-Burn/L-3.1-Science-Writer-8B,2024-11-19 23:49:48.332010269+00:00,2024,IFEval,35.48983364140481,"prompt_level_strict_acc,none",8.03,True
3rd-Degree-Burn/L-3.1-Science-Writer-8B,2024-11-19 23:49:48.332010269+00:00,2024,MATH-Hard,10.27190332326284,"exact_match,none",8.03,True
3rd-Degree-Burn/L-3.1-Science-Writer-8B,2024-11-19 23:49:48.332010269+00:00,2024,GPQA,27.432885906040266,"acc_norm,none",8.03,True
3rd-Degree-Burn/L-3.1-Science-Writer-8B,2024-11-19 23:49:48.332010269+00:00,2024,BBH,50.078111438986284,"acc_norm,none",8.03,True
3rd-Degree-Burn/L-3.1-Science-Writer-8B,2024-11-19 23:49:48.332010269+00:00,2024,MMLU-Pro,36.49434840425532,"acc,none",8.03,True
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2024-10-10 15:54:25.589263916+00:00,2024,MuSR,30.82010582010582,"acc_norm,none",8.03,True
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2024-10-10 15:54:25.589263916+00:00,2024,IFEval,16.45101663585952,"prompt_level_strict_acc,none",8.03,True
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2024-10-10 15:54:25.589263916+00:00,2024,MATH-Hard,21.07250755287009,"exact_match,none",8.03,True
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2024-10-10 15:54:25.589263916+00:00,2024,GPQA,25.671140939597315,"acc_norm,none",8.03,True
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2024-10-10 15:54:25.589263916+00:00,2024,BBH,34.247526471098766,"acc_norm,none",8.03,True
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,2024-10-10 15:54:25.589263916+00:00,2024,MMLU-Pro,17.49501329787234,"acc,none",8.03,True
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,2024-11-10 08:42:41.739527702+00:00,2024,MuSR,33.33333333333333,"acc_norm,none",8.03,True
